run_id,threat_type,aggressor_site_id,defender_site_id,initial_threat_x,initial_threat_y,initial_threat_z,initial_threat_vx,initial_threat_vy,initial_threat_vz,radar_3s_x,radar_3s_y,radar_3s_z,radar_3s_vx,radar_3s_vy,radar_3s_vz,outcome,miss_distance_m,time_to_intercept_s,intercept_x,intercept_y,intercept_z
273,high_ballistic,8,4,70000.0,60000.0,0.0,3125.36439751813,69.74157949518228,1356.0344689497579,79271.5902106525,60206.89278544189,4069.81126779783,3090.5300702174873,68.96426181391345,1341.8887559326067,HIT,0.008748037342510522,156.26244500060636,552933.7841349365,70776.52427705866,94515.57352247086
274,quasi_ballistic,1,2,30000.0,-35000.0,0.0,1703.8944002910416,164.48070250433207,1030.0559331283769,35111.683200873085,-34506.55789248689,3100.0227993851327,1703.8944002910416,164.48070250433207,1036.6259331283784,HIT,0.008171839871683588,224.52662858409406,410541.07635308336,13122.923457790544,40919.313626095776
275,supersonic_cruise,0,0,15000.0,-75000.0,0.0,1085.4039829544975,152.00358310320988,120.0,18256.211948863518,-74543.98925069079,259.7611575195571,1085.4039829544975,152.00358310320988,64.09553699217709,HIT,0.005016117011694078,261.7318901191715,299084.83584287553,-35215.81487898552,1917.3450436622747
276,high_ballistic,3,2,45000.0,45000.0,0.0,3328.745226976035,-292.67143392149126,1363.3879454708704,55124.66832215301,44109.81436133661,3990.0948135309577,3374.8894407176667,-296.72854622119456,1315.3166045103158,HIT,0.04787015484302499,151.49450622275006,556277.2045036425,47.26027162752668,91149.13402019406
277,quasi_ballistic,6,2,65000.0,-15000.0,0.0,1592.0333777284359,5.200846430798034,899.3471706017813,69776.1001331851,-14984.39746070766,2707.8965118053457,1592.0333777284359,5.200846430798034,905.9171706017828,HIT,0.005913851133892051,205.01321806888103,386429.7053470431,-50663.43219937311,30653.611558783414
278,supersonic_cruise,1,1,30000.0,-35000.0,0.0,1034.3539258971393,73.49538337987707,120.0,33103.06177769147,-34779.51384986023,259.7611575195571,1034.3539258971393,73.49538337987707,64.09553699217709,HIT,0.002758438796613755,250.0301088750284,288619.62458694004,-16623.941288301045,4140.468839816725
279,high_ballistic,6,2,65000.0,-15000.0,0.0,2565.3485722112637,174.57219863481475,1620.5761661298006,73448.80309088388,-14425.058197788312,4384.421316788316,2816.2676969613485,191.64726740388585,1446.7587722627686,HIT,0.016002360362421215,174.70946017159886,557028.6078680352,18482.588761310908,108186.89684663019
280,quasi_ballistic,4,3,25000.0,85000.0,0.0,1455.5229663293032,-175.22581673446152,805.3113919577046,29366.568898987898,84474.3225497962,2425.789175873116,1455.5229663293032,-175.22581673446152,811.8813919577061,HIT,0.10079009937147675,250.85291697552591,389400.82998534146,43128.55553501277,36190.32623575696
281,supersonic_cruise,5,1,80000.0,-65000.0,0.0,897.1794695522285,146.81357147344457,120.0,82691.53840865707,-64559.5592855796,259.7611575195571,897.1794695522285,146.81357147344457,64.09553699217709,HIT,0.015763446452795964,258.199065700698,311650.9001037498,-27092.87300249767,3708.593424658776
282,high_ballistic,9,2,85000.0,-85000.0,0.0,2976.272870196708,401.54165405039936,1428.6863197199084,93549.94274783647,-83846.49079478579,4431.84321761904,2849.980915945372,384.50306840486104,1462.5660725396765,HIT,0.01038499252676812,159.64119937718235,539974.3707430651,-23617.469750821834,113178.59787145708
